song_id,user_id,timestamp,duration_sec,title,artist,genre,mood
song_67,user_47,2025-03-23T06:30:20.000Z,187,Title 67,Artist 12,Pop,Happy
song_43,user_50,2025-03-20T05:11:58.000Z,184,Title 43,Artist 9,Hip-Hop,Energetic
song_7,user_7,2025-03-24T20:33:15.000Z,61,Title 7,Artist 23,Jazz,Chill
song_74,user_50,2025-03-20T09:22:28.000Z,78,Title 74,Artist 18,Pop,Happy
song_94,user_40,2025-03-19T12:15:06.000Z,60,Title 94,Artist 13,Jazz,Sad
song_74,user_7,2025-03-21T03:47:34.000Z,67,Title 74,Artist 18,Pop,Happy
song_70,user_4,2025-03-24T16:11:22.000Z,276,Title 70,Artist 14,Classical,Chill
song_100,user_25,2025-03-23T06:43:28.000Z,286,Title 100,Artist 18,Rock,Chill
song_22,user_34,2025-03-18T03:26:21.000Z,282,Title 22,Artist 14,Jazz,Chill
song_33,user_41,2025-03-20T05:07:03.000Z,170,Title 33,Artist 17,Classical,Chill
song_96,user_18,2025-03-20T06:24:20.000Z,106,Title 96,Artist 30,Classical,Happy
song_46,user_5,2025-03-19T12:19:29.000Z,35,Title 46,Artist 4,Rock,Chill
song_40,user_17,2025-03-23T01:20:35.000Z,106,Title 40,Artist 28,Hip-Hop,Energetic
song_100,user_39,2025-03-24T07:10:11.000Z,291,Title 100,Artist 18,Rock,Chill
song_72,user_25,2025-03-22T21:15:32.000Z,293,Title 72,Artist 4,Classical,Energetic
song_58,user_49,2025-03-19T00:28:52.000Z,187,Title 58,Artist 4,Pop,Happy
song_2,user_22,2025-03-20T09:05:14.000Z,295,Title 2,Artist 29,Rock,Energetic
song_25,user_13,2025-03-24T14:13:27.000Z,262,Title 25,Artist 2,Jazz,Energetic
song_31,user_26,2025-03-19T18:57:27.000Z,275,Title 31,Artist 18,Jazz,Sad
song_11,user_40,2025-03-24T17:39:32.000Z,266,Title 11,Artist 16,Jazz,Energetic
song_73,user_14,2025-03-20T11:52:47.000Z,79,Title 73,Artist 6,Hip-Hop,Chill
song_82,user_35,2025-03-19T14:18:42.000Z,157,Title 82,Artist 23,Jazz,Energetic
song_63,user_26,2025-03-20T04:24:50.000Z,190,Title 63,Artist 14,Hip-Hop,Energetic
song_68,user_14,2025-03-19T15:45:44.000Z,253,Title 68,Artist 20,Pop,Sad
song_40,user_31,2025-03-18T09:28:12.000Z,128,Title 40,Artist 28,Hip-Hop,Energetic
song_41,user_36,2025-03-22T00:17:39.000Z,116,Title 41,Artist 20,Hip-Hop,Sad
song_96,user_1,2025-03-18T17:36:53.000Z,122,Title 96,Artist 30,Classical,Happy
song_38,user_49,2025-03-20T08:59:23.000Z,277,Title 38,Artist 7,Classical,Happy
song_91,user_13,2025-03-21T15:47:19.000Z,129,Title 91,Artist 12,Classical,Chill
song_71,user_8,2025-03-22T10:58:40.000Z,179,Title 71,Artist 6,Classical,Energetic
song_10,user_23,2025-03-22T08:21:02.000Z,139,Title 10,Artist 25,Pop,Happy
song_86,user_38,2025-03-23T23:05:16.000Z,36,Title 86,Artist 24,Hip-Hop,Sad
